iter	Passed	Remaining
0	0	72
1	1	64
2	2	69
3	2	63
4	3	64
5	4	63
6	4	63
7	5	64
8	6	68
9	7	67
10	8	65
11	8	65
12	9	65
13	10	63
14	10	61
15	11	59
16	11	58
17	12	57
18	13	56
19	13	55
20	14	54
21	15	53
22	15	51
23	16	50
24	16	50
25	17	49
26	17	48
27	18	48
28	19	47
29	20	47
30	20	46
31	21	46
32	22	45
33	23	44
34	23	43
35	24	43
36	25	42
37	25	41
38	26	41
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	32
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	42	21
66	42	20
67	43	20
68	43	19
69	44	19
70	44	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
